no,factor,description,factor_type,data_type,factor_trend
1,avg_bal_12_to_max_bal_12,Average balance over the last 12 months to maximum balance in last 12 months,Account Balance,Continuous,
2,avg_bal_9_to_max_bal_12,Average balance over the last 9 months to maximum balance in last 12 months,Account Balance,Continuous,
3,avg_bal_6_to_max_bal_12,Average balance over the last 6 months to maximum balance in last 12 months,Account Balance,Continuous,
4,avg_bal_3_to_max_bal_12,Average balance over the last 3 months to maximum balance in last 12 months,Account Balance,Continuous,
5,avg_bal_9_to_max_bal_9,Average balance over the last 9 months to maximum balance in last 9 months,Account Balance,Continuous,
6,avg_bal_6_to_max_bal_9,Average balance over the last 6 months to maximum balance in last 9 months,Account Balance,Continuous,
7,avg_bal_3_to_max_bal_9,Average balance over the last 3 months to maximum balance in last 9 months,Account Balance,Continuous,
8,avg_bal_6_to_max_bal_6,Average balance over the last 6 months to maximum balance in last 6 months,Account Balance,Continuous,
9,avg_bal_3_to_max_bal_6,Average balance over the last 3 months to maximum balance in last 6 months,Account Balance,Continuous,
10,avg_bal_3_to_max_bal_3,Average balance over the last 3 months to maximum balance in last 3 months,Account Balance,Continuous,
11,avg_bal_3_to_avg_bal_12,Average balance over the last 3 months to average balance over the last 12 months,Account Balance,Continuous,
12,avg_bal_3_to_avg_bal_9,Average balance over the last 3 months to average balance over the last 9 months,Account Balance,Continuous,
13,avg_bal_3_to_avg_bal_6,Average balance over the last 3 months to average balance over the last 6 months,Account Balance,Continuous,
14,bal_to_avg_bal_12,Current balance to average balance over the last 12 months,Account Balance,Continuous,
15,bal_to_avg_bal_9,Current balance to average balance over the last 9 months,Account Balance,Continuous,
16,bal_to_avg_bal_6,Current balance to average balance over the last 6 months,Account Balance,Continuous,
17,bal_to_avg_bal_3,Current balance to average balance over the last 3 months,Account Balance,Continuous,
18,bal_to_max_bal_12,Current balance to maximum balance in last 12 months,Account Balance,Continuous,
19,bal_to_max_bal_9,Current balance to maximum balance in last 9 months,Account Balance,Continuous,
20,bal_to_max_bal_6,Current balance to maximum balance in last 6 months,Account Balance,Continuous,
21,bal_to_max_bal_3,Current balance to maximum balance in last 3 months,Account Balance,Continuous,
22,bal_to_fin,Current balance to financed amount,Account Balance,Continuous,
23,avg_bal_12,Average balance in past 12 months,Account Balance,Continuous,
24,avg_bal_9,Average balance in past 9 months,Account Balance,Continuous,
25,avg_bal_6,Average balance in past 6 months,Account Balance,Continuous,
26,avg_bal_3,Average balance in past 3 months,Account Balance,Continuous,
27,max_bal_12,Maximum balance in past 12 months,Account Balance,Continuous,
28,max_bal_9,Maximum balance in past 9 months,Account Balance,Continuous,
29,max_bal_6,Maximum balance in past 6 months,Account Balance,Continuous,
30,max_bal_3,Maximum balance in past 3 months,Account Balance,Continuous,
31,min_bal_12,Minimum balance in past 12 months,Account Balance,Continuous,
32,min_bal_9,Minimum balance in past 9 months,Account Balance,Continuous,
33,min_bal_6,Minimum balance in past 6 months,Account Balance,Continuous,
34,min_bal_3,Minimum balance in past 3 months,Account Balance,Continuous,
35,avg_bal_to_fin_12,Average of balance to financed amount in past 12 months,Account Balance,Continuous,
36,avg_bal_to_fin_9,Average of balance to financed amount in past 9 months,Account Balance,Continuous,
37,avg_bal_to_fin_6,Average of balance to financed amount in past 6 months,Account Balance,Continuous,
38,avg_bal_to_fin_3,Average of balance to financed amount in past 3 months,Account Balance,Continuous,
39,avg_due_12,Average due amount in past 12 months,Due Amount,Continuous,
40,avg_due_9,Average due amount in past 9 months,Due Amount,Continuous,
41,avg_due_6,Average due amount in past 6 months,Due Amount,Continuous,
42,avg_due_3,Average due amount in past 3 months,Due Amount,Continuous,
43,avg_ovd_12,Average overdue amount in past 12 months,Due Amount,Continuous,ascending
44,avg_ovd_9,Average overdue amount in past 9 months,Due Amount,Continuous,ascending
45,avg_ovd_6,Average overdue amount in past 6 months,Due Amount,Continuous,ascending
46,avg_ovd_3,Average overdue amount in past 3 months,Due Amount,Continuous,ascending
47,avg_due_3_to_avg_due_12,Average due amount over the last 3 months to average due amount over the last 12 months,Due Amount,Continuous,
48,avg_due_3_to_avg_due_9,Average due amount over the last 3 months to average due amount over the last 9 months,Due Amount,Continuous,
49,avg_due_3_to_avg_due_6,Average due amount over the last 3 months to average due amount over the last 6 months,Due Amount,Continuous,
50,avg_ovd_3_to_avg_ovd_12,Average overdue amount over the last 3 months to average overdue amount over the last 12 months,Due Amount,Continuous,ascending
51,avg_ovd_3_to_avg_ovd_9,Average overdue amount over the last 3 months to average overdue amount over the last 9 months,Due Amount,Continuous,ascending
52,avg_ovd_3_to_avg_ovd_6,Average overdue amount over the last 3 months to average overdue amount over the last 6 months,Due Amount,Continuous,ascending
